HelpID,Department,JobRole,JobLevel,BusinessTravel,StockOptionLevel
1,Sales,"Sales Executive",2,Travel_Rarely,0
2,"Research & Development","Research Scientist",2,Travel_Frequently,1
3,"Research & Development","Laboratory Technician",1,Travel_Rarely,0
4,"Research & Development","Research Scientist",1,Travel_Frequently,0
5,"Research & Development","Laboratory Technician",1,Travel_Rarely,1
6,"Research & Development","Laboratory Technician",1,Travel_Frequently,0
7,"Research & Development","Laboratory Technician",1,Travel_Rarely,3
8,"Research & Development","Manufacturing Director",3,Travel_Frequently,0
9,"Research & Development","Healthcare Representative",2,Travel_Rarely,2
10,"Research & Development","Laboratory Technician",2,Travel_Rarely,0
11,"Research & Development","Research Scientist",1,Travel_Rarely,1
12,"Research & Development","Manufacturing Director",3,Travel_Rarely,1
13,"Research & Development","Research Scientist",1,Travel_Rarely,2
14,"Research & Development","Laboratory Technician",1,Non-Travel,2
15,Sales,Manager,4,Travel_Rarely,0
16,"Research & Development","Research Scientist",1,Travel_Rarely,0
17,"Research & Development","Manufacturing Director",2,Non-Travel,1
18,Sales,"Sales Representative",1,Travel_Rarely,0
19,"Research & Development","Research Director",3,Travel_Rarely,0
20,"Research & Development",Manager,5,Travel_Rarely,1
21,Sales,"Sales Executive",2,Travel_Rarely,1
22,"Research & Development","Healthcare Representative",3,Travel_Rarely,1
23,Sales,Manager,5,Travel_Rarely,0
24,"Research & Development","Healthcare Representative",2,Travel_Rarely,0
25,Sales,"Sales Representative",2,Travel_Rarely,1
26,Sales,"Sales Executive",2,Travel_Frequently,2
27,Sales,"Sales Executive",3,Travel_Frequently,0
28,"Research & Development","Laboratory Technician",2,Travel_Frequently,0
29,"Research & Development","Research Director",5,Travel_Rarely,0
30,Sales,"Sales Executive",2,Non-Travel,0
31,Sales,"Sales Executive",2,Travel_Frequently,0
32,"Research & Development","Laboratory Technician",3,Travel_Rarely,0
33,"Research & Development","Healthcare Representative",3,Non-Travel,1
34,"Research & Development","Research Director",3,Travel_Frequently,0
35,Sales,"Sales Executive",3,Travel_Frequently,1
36,"Research & Development","Laboratory Technician",2,Travel_Rarely,1
37,"Research & Development","Manufacturing Director",2,Travel_Rarely,1
38,"Research & Development","Research Director",5,Travel_Rarely,1
39,Sales,"Sales Executive",3,Travel_Rarely,0
40,"Research & Development","Healthcare Representative",3,Travel_Rarely,3
41,"Research & Development",Manager,4,Travel_Rarely,3
42,"Research & Development","Manufacturing Director",2,Travel_Frequently,0
43,"Research & Development","Research Scientist",3,Travel_Rarely,1
44,"Research & Development","Research Scientist",1,Travel_Frequently,1
45,"Research & Development","Research Scientist",2,Travel_Rarely,2
46,"Research & Development","Manufacturing Director",2,Travel_Rarely,0
47,"Human Resources","Human Resources",2,Travel_Rarely,1
48,"Research & Development","Laboratory Technician",2,Travel_Rarely,2
49,Sales,"Sales Executive",3,Travel_Rarely,1
50,"Research & Development","Research Scientist",2,Non-Travel,3
51,"Research & Development","Manufacturing Director",3,Travel_Rarely,0
