PayId,HourlyRate,MonthlyRate,MonthlyIncome,DailyRate,OverTime,PercentSalaryHike
1,94,19479,5993,1102,Yes,11
2,61,24907,5130,279,"No ",23
3,92,2396,2090,1373,Yes,15
4,56,23159,2909,1392,Yes,11
5,40,16632,3468,591,"No ",12
6,79,11864,3068,1005,"No ",13
7,81,9964,2670,1324,Yes,20
8,67,13335,2693,1358,"No ",22
9,44,8787,9526,216,"No ",21
10,94,16577,5237,1299,"No ",13
11,84,16479,2426,809,"No ",13
12,49,12682,4193,153,Yes,12
13,31,15170,2911,670,"No ",17
14,93,8758,2661,1346,"No ",11
15,50,12947,2028,103,Yes,14
16,51,10195,9980,1389,"No ",11
17,80,15053,3298,334,Yes,12
18,96,7324,2935,1123,Yes,13
19,78,22021,15427,1219,"No ",16
20,45,4306,3944,371,Yes,11
21,96,8232,4011,673,"No ",18
22,82,6986,3407,1218,"No ",23
23,53,21293,11994,419,"No ",11
24,96,19281,1232,391,"No ",14
25,83,17102,2960,699,"No ",11
26,58,10735,19094,1282,"No ",11
27,72,4681,3919,1125,Yes,22
28,48,21173,6825,691,"No ",11
29,42,2094,10248,477,"No ",14
30,83,22822,18947,705,"No ",12
31,78,6670,2496,924,"No ",11
32,41,19121,6465,1459,Yes,13
33,83,16117,2206,125,"No ",13
34,56,3335,2086,895,"No ",14
35,61,3020,2293,813,Yes,16
36,72,21923,2645,1273,"No ",12
37,86,3810,2683,869,Yes,14
38,97,9687,2014,890,"No ",13
39,82,13072,3419,852,Yes,14
40,42,3193,5376,1141,"No ",19
41,75,10910,1951,464,"No ",12
42,33,19715,2341,1240,"No ",13
43,48,10558,2293,1357,"No ",12
44,37,2975,8726,994,"No ",15
45,58,10781,4011,721,"No ",23
46,49,16280,19545,1360,"No ",12
47,72,10034,4568,1065,"No ",20
48,73,10227,3022,408,"No ",21
49,98,20445,5772,1211,Yes,21
50,36,4892,2269,1229,"No ",19
51,98,19294,5381,626,Yes,13
