JobID,JobRole,Department,JobLevel,StandardHours,EmployeeCount,BusinessTravel,StockOptionLevel
1,Sales Executive,Sales,2,80,1,Travel_Rarely,0
2,Research Scientist,Research & Development,2,80,1,Travel_Frequently,1
3,Laboratory Technician,Research & Development,1,80,1,Travel_Rarely,0
4,Research Scientist,Research & Development,1,80,1,Travel_Frequently,0
5,Laboratory Technician,Research & Development,1,80,1,Travel_Rarely,1
6,Laboratory Technician,Research & Development,1,80,1,Travel_Frequently,0
7,Laboratory Technician,Research & Development,1,80,1,Travel_Rarely,3
8,Manufacturing Director,Research & Development,3,80,1,Travel_Frequently,0
9,Healthcare Representative,Research & Development,2,80,1,Travel_Rarely,2
10,Laboratory Technician,Research & Development,2,80,1,Travel_Rarely,0
11,Research Scientist,Research & Development,1,80,1,Travel_Rarely,1
12,Manufacturing Director,Research & Development,3,80,1,Travel_Rarely,1
13,Research Scientist,Research & Development,1,80,1,Travel_Rarely,2
14,Laboratory Technician,Research & Development,1,80,1,Non-Travel,2
15,Manager,Sales,4,80,1,Travel_Rarely,0
16,Research Scientist,Research & Development,1,80,1,Travel_Rarely,0
17,Manufacturing Director,Research & Development,2,80,1,Non-Travel,1
18,Sales Representative,Sales,1,80,1,Travel_Rarely,0
19,Research Director,Research & Development,3,80,1,Travel_Rarely,0
20,Manager,Research & Development,5,80,1,Travel_Rarely,1
21,Sales Executive,Sales,2,80,1,Travel_Rarely,1
22,Healthcare Representative,Research & Development,3,80,1,Travel_Rarely,1
23,Manager,Sales,5,80,1,Travel_Rarely,0
24,Healthcare Representative,Research & Development,2,80,1,Travel_Rarely,0
25,Sales Representative,Sales,2,80,1,Travel_Rarely,1
26,Sales Executive,Sales,2,80,1,Travel_Frequently,2
27,Sales Executive,Sales,3,80,1,Travel_Frequently,0
28,Laboratory Technician,Research & Development,2,80,1,Travel_Frequently,0
29,Research Director,Research & Development,5,80,1,Travel_Rarely,0
30,Sales Executive,Sales,2,80,1,Non-Travel,0
31,Sales Executive,Sales,2,80,1,Travel_Frequently,0
32,Laboratory Technician,Research & Development,3,80,1,Travel_Rarely,0
33,Healthcare Representative,Research & Development,3,80,1,Non-Travel,1
34,Research Director,Research & Development,3,80,1,Travel_Frequently,0
35,Sales Executive,Sales,3,80,1,Travel_Frequently,1
36,Laboratory Technician,Research & Development,2,80,1,Travel_Rarely,1
37,Manufacturing Director,Research & Development,2,80,1,Travel_Rarely,1
38,Research Director,Research & Development,5,80,1,Travel_Rarely,1
39,Sales Executive,Sales,3,80,1,Travel_Rarely,0
40,Healthcare Representative,Research & Development,3,80,1,Travel_Rarely,3
41,Manager,Research & Development,4,80,1,Travel_Rarely,3
42,Manufacturing Director,Research & Development,2,80,1,Travel_Frequently,0
43,Research Scientist,Research & Development,3,80,1,Travel_Rarely,1
44,Research Scientist,Research & Development,1,80,1,Travel_Frequently,1
45,Research Scientist,Research & Development,2,80,1,Travel_Rarely,2
46,Manufacturing Director,Research & Development,2,80,1,Travel_Rarely,0
47,Human Resources,Human Resources,2,80,1,Travel_Rarely,1
48,Laboratory Technician,Research & Development,2,80,1,Travel_Rarely,2
49,Sales Executive,Sales,3,80,1,Travel_Rarely,1
50,Research Scientist,Research & Development,2,80,1,Non-Travel,3
51,Manufacturing Director,Research & Development,3,80,1,Travel_Rarely,0
52,Sales Representative,Sales,1,80,1,Travel_Rarely,1
53,Laboratory Technician,Research & Development,1,80,1,Travel_Rarely,2
54,Healthcare Representative,Research & Development,2,80,1,Travel_Rarely,3
55,Healthcare Representative,Research & Development,4,80,1,Travel_Frequently,1
56,Sales Executive,Sales,2,80,1,Travel_Rarely,3
57,Healthcare Representative,Research & Development,3,80,1,Travel_Frequently,1
58,Research Director,Research & Development,3,80,1,Travel_Rarely,1
59,Sales Executive,Sales,4,80,1,Travel_Rarely,0
60,Laboratory Technician,Research & Development,2,80,1,Non-Travel,1
61,Human Resources,Human Resources,1,80,1,Travel_Rarely,0
62,Research Scientist,Research & Development,2,80,1,Travel_Rarely,0
63,Healthcare Representative,Research & Development,2,80,1,Non-Travel,1
64,Manager,Human Resources,5,80,1,Non-Travel,1
65,Research Director,Research & Development,5,80,1,Travel_Frequently,0
66,Healthcare Representative,Research & Development,3,80,1,Travel_Frequently,0
67,Manager,Human Resources,4,80,1,Non-Travel,0
68,Research Scientist,Research & Development,2,80,1,Travel_Rarely,1
69,Manager,Research & Development,3,80,1,Travel_Rarely,0
70,Manager,Sales,4,80,1,Travel_Frequently,2
71,Research Scientist,Research & Development,1,80,1,Travel_Frequently,3
72,Sales Executive,Sales,2,80,1,Non-Travel,1
73,Research Scientist,Research & Development,1,80,1,Travel_Rarely,3
74,Human Resources,Human Resources,1,80,1,Travel_Rarely,1
75,Manufacturing Director,Research & Development,2,80,1,Travel_Rarely,2
76,Human Resources,Human Resources,2,80,1,Travel_Rarely,0
77,Sales Executive,Sales,2,80,1,Travel_Frequently,3
78,Manager,Research & Development,4,80,1,Travel_Frequently,1
79,Sales Executive,Sales,3,80,1,Travel_Rarely,2
80,Sales Representative,Sales,1,80,1,Travel_Frequently,1
81,Research Scientist,Research & Development,1,80,1,Non-Travel,1
82,Manager,Research & Development,5,80,1,Travel_Rarely,0
83,Sales Representative,Sales,1,80,1,Travel_Frequently,0
84,Laboratory Technician,Research & Development,2,80,1,Non-Travel,2
85,Sales Executive,Sales,3,80,1,Travel_Rarely,3
86,Healthcare Representative,Research & Development,4,80,1,Travel_Rarely,0
87,Research Scientist,Research & Development,1,80,1,Non-Travel,3
88,Manager,Research & Development,4,80,1,Non-Travel,1
89,Manufacturing Director,Research & Development,2,80,1,Travel_Frequently,1
90,Manufacturing Director,Research & Development,2,80,1,Non-Travel,2
91,Manufacturing Director,Research & Development,3,80,1,Non-Travel,0
92,Research Director,Research & Development,3,80,1,Travel_Rarely,2
93,Manager,Sales,3,80,1,Travel_Rarely,0
94,Sales Executive,Sales,3,80,1,Non-Travel,0
95,Research Director,Research & Development,3,80,1,Travel_Frequently,3
96,Manager,Sales,5,80,1,Travel_Rarely,1
97,Manager,Sales,4,80,1,Travel_Rarely,1
