BusinessTravel,EmployeeCount,Over18,StockOptionLevel,Education,EducationField
Travel_Rarely,1,Y,0,2,"Life Sciences"
Travel_Frequently,1,Y,1,1,"Life Sciences"
Travel_Rarely,1,Y,0,2,Other
Travel_Frequently,1,Y,0,4,"Life Sciences"
Travel_Rarely,1,Y,1,1,Medical
Travel_Frequently,1,Y,0,2,"Life Sciences"
Travel_Rarely,1,Y,3,3,Medical
Travel_Rarely,1,Y,1,1,"Life Sciences"
Travel_Frequently,1,Y,0,3,"Life Sciences"
Travel_Rarely,1,Y,2,3,Medical
Travel_Rarely,1,Y,1,3,Medical
Travel_Rarely,1,Y,0,2,"Life Sciences"
Travel_Rarely,1,Y,1,1,"Life Sciences"
Travel_Rarely,1,Y,1,2,Medical
Travel_Rarely,1,Y,0,3,"Life Sciences"
Travel_Rarely,1,Y,1,4,"Life Sciences"
Travel_Rarely,1,Y,2,2,"Life Sciences"
Non-Travel,1,Y,2,2,Medical
Travel_Rarely,1,Y,0,4,"Life Sciences"
Travel_Rarely,1,Y,0,3,"Life Sciences"
Non-Travel,1,Y,1,2,Other
Travel_Rarely,1,Y,0,4,"Life Sciences"
Travel_Rarely,1,Y,0,4,"Life Sciences"
Travel_Rarely,1,Y,0,2,"Life Sciences"
Travel_Rarely,1,Y,0,1,Medical
Travel_Rarely,1,Y,1,3,Other
Travel_Frequently,1,Y,0,1,"Life Sciences"
Travel_Rarely,1,Y,1,4,Marketing
Travel_Rarely,1,Y,1,4,Medical
Travel_Rarely,1,Y,0,4,Marketing
Travel_Rarely,1,Y,0,3,Medical
Travel_Rarely,1,Y,0,4,Other
Travel_Rarely,1,Y,0,2,Medical
Travel_Rarely,1,Y,1,3,"Technical Degree"
Travel_Rarely,1,Y,1,3,Medical
Travel_Rarely,1,Y,2,2,Medical
Travel_Rarely,1,Y,0,2,Marketing
Travel_Rarely,1,Y,0,3,Marketing
Travel_Rarely,1,Y,1,4,"Life Sciences"
Travel_Frequently,1,Y,2,3,"Life Sciences"
Travel_Rarely,1,Y,1,2,Other
